accession	description
"GCA_017393165.1"	"ASM1739316v1 assembly for Lachnospiraceae bacterium"
"GCA_017393205.1"	"ASM1739320v1 assembly for Muribaculaceae bacterium"
"GCA_017393265.1"	"ASM1739326v1 assembly for Ruminococcus sp."
"GCA_017393285.1"	"ASM1739328v1 assembly for Lachnospiraceae bacterium"
"GCA_017393325.1"	"ASM1739332v1 assembly for Clostridia bacterium"
"GCA_017393345.1"	"ASM1739334v1 assembly for Bacteroidales bacterium"
"GCA_017393355.1"	"ASM1739335v1 assembly for Treponema sp."
"GCA_017393385.1"	"ASM1739338v1 assembly for Bacteroidales bacterium"
"GCA_017393425.1"	"ASM1739342v1 assembly for Agathobacter sp."
"GCA_017393445.1"	"ASM1739344v1 assembly for Bacteroidales bacterium"
"GCA_017395585.1"	"ASM1739558v1 assembly for Prevotella sp."
"GCA_017395595.1"	"ASM1739559v1 assembly for Prevotella sp."
"GCA_017395635.1"	"ASM1739563v1 assembly for Lachnospiraceae bacterium"
"GCA_017395685.1"	"ASM1739568v1 assembly for Clostridia bacterium"
"GCA_017395705.1"	"ASM1739570v1 assembly for Clostridia bacterium"
"GCA_017395725.1"	"ASM1739572v1 assembly for Clostridia bacterium"
"GCA_017395765.1"	"ASM1739576v1 assembly for bacterium"
"GCA_017395785.1"	"ASM1739578v1 assembly for Agathobacter sp."
"GCA_017395795.1"	"ASM1739579v1 assembly for Clostridia bacterium"
"GCA_017438945.1"	"ASM1743894v1 assembly for Bacteroidales bacterium"
"GCA_017439225.1"	"ASM1743922v1 assembly for Paludibacteraceae bacterium"
"GCA_017439235.1"	"ASM1743923v1 assembly for Paludibacteraceae bacterium"
"GCA_017439245.1"	"ASM1743924v1 assembly for Acidaminococcaceae bacterium"
"GCA_017439255.1"	"ASM1743925v1 assembly for Treponema sp."
"GCA_017439305.1"	"ASM1743930v1 assembly for Bacteroidales bacterium"
"GCA_017439325.1"	"ASM1743932v1 assembly for Prevotella sp."
"GCA_017439345.1"	"ASM1743934v1 assembly for Synergistaceae bacterium"
"GCA_017439365.1"	"ASM1743936v1 assembly for Paludibacteraceae bacterium"
"GCA_017439375.1"	"ASM1743937v1 assembly for Prevotella sp."
"GCA_017439425.1"	"ASM1743942v1 assembly for Oscillospiraceae bacterium"
"GCA_017439445.1"	"ASM1743944v1 assembly for Selenomonadaceae bacterium"
"GCA_017439455.1"	"ASM1743945v1 assembly for Synergistaceae bacterium"
"GCA_017439465.1"	"ASM1743946v1 assembly for Synergistaceae bacterium"
"GCA_017439525.1"	"ASM1743952v1 assembly for Clostridia bacterium"
"GCA_017439545.1"	"ASM1743954v1 assembly for Clostridia bacterium"
"GCA_017439555.1"	"ASM1743955v1 assembly for Oscillospiraceae bacterium"
"GCA_017439585.1"	"ASM1743958v1 assembly for Clostridia bacterium"
"GCA_017439615.1"	"ASM1743961v1 assembly for Bacillota bacterium"
"GCA_017439645.1"	"ASM1743964v1 assembly for Clostridia bacterium"
"GCA_017439665.1"	"ASM1743966v1 assembly for Lachnospiraceae bacterium"
"GCA_017439705.1"	"ASM1743970v1 assembly for Erysipelotrichales bacterium"
"GCA_017439715.1"	"ASM1743971v1 assembly for Clostridia bacterium"
"GCA_017439765.1"	"ASM1743976v1 assembly for Clostridia bacterium"
"GCA_017439775.1"	"ASM1743977v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017439845.1"	"ASM1743984v1 assembly for Clostridia bacterium"
"GCA_017445585.1"	"ASM1744558v1 assembly for Lachnospiraceae bacterium"
"GCA_017445605.1"	"ASM1744560v1 assembly for Bacteroidales bacterium"
"GCA_017445735.1"	"ASM1744573v1 assembly for Clostridia bacterium"
"GCA_017445755.1"	"ASM1744575v1 assembly for Bacteroidales bacterium"
"GCA_017445775.1"	"ASM1744577v1 assembly for Paludibacteraceae bacterium"
"GCA_017445805.1"	"ASM1744580v1 assembly for bacterium"
"GCA_017445825.1"	"ASM1744582v1 assembly for Bacteroidales bacterium"
"GCA_017445865.1"	"ASM1744586v1 assembly for Paludibacteraceae bacterium"
"GCA_017445875.1"	"ASM1744587v1 assembly for Oscillospiraceae bacterium"
"GCA_017445905.1"	"ASM1744590v1 assembly for Eubacterium sp."
"GCA_017445925.1"	"ASM1744592v1 assembly for Bacteroidaceae bacterium"
"GCA_017447585.1"	"ASM1744758v1 assembly for Clostridia bacterium"
"GCA_017447625.1"	"ASM1744762v1 assembly for Bacteroidaceae bacterium"
"GCA_017447645.1"	"ASM1744764v1 assembly for Oscillospiraceae bacterium"
"GCA_017447665.1"	"ASM1744766v1 assembly for Bacillota bacterium"
"GCA_017447685.1"	"ASM1744768v1 assembly for Oscillospiraceae bacterium"
"GCA_017447705.1"	"ASM1744770v1 assembly for Bacteroidaceae bacterium"
"GCA_017447725.1"	"ASM1744772v1 assembly for Bacilli bacterium"
"GCA_017447745.1"	"ASM1744774v1 assembly for Thermoguttaceae bacterium"
"GCA_017447765.1"	"ASM1744776v1 assembly for Oscillospiraceae bacterium"
"GCA_017447805.1"	"ASM1744780v1 assembly for Kiritimatiellia bacterium"
"GCA_017447815.1"	"ASM1744781v1 assembly for Bacteroidales bacterium"
"GCA_017447845.1"	"ASM1744784v1 assembly for Clostridia bacterium"
"GCA_017447865.1"	"ASM1744786v1 assembly for Thermoguttaceae bacterium"
"GCA_017447945.1"	"ASM1744794v1 assembly for Clostridia bacterium"
"GCA_017447985.1"	"ASM1744798v1 assembly for Lachnospiraceae bacterium"
"GCA_017448005.1"	"ASM1744800v1 assembly for Synergistaceae bacterium"
"GCA_017448025.1"	"ASM1744802v1 assembly for Oscillibacter sp."
"GCA_017448045.1"	"ASM1744804v1 assembly for Clostridia bacterium"
"GCA_017448055.1"	"ASM1744805v1 assembly for Bacteroidales bacterium"
"GCA_017448145.1"	"ASM1744814v1 assembly for Oscillospiraceae bacterium"
"GCA_017448155.1"	"ASM1744815v1 assembly for Paludibacteraceae bacterium"
"GCA_017454125.1"	"ASM1745412v1 assembly for Bacteroidales bacterium"
"GCA_017454135.1"	"ASM1745413v1 assembly for Ruminococcus sp."
"GCA_017454165.1"	"ASM1745416v1 assembly for Bacteroidales bacterium"
"GCA_017454205.1"	"ASM1745420v1 assembly for Bacteroidales bacterium"
"GCA_017454215.1"	"ASM1745421v1 assembly for Lentisphaeria bacterium"
"GCA_017454245.1"	"ASM1745424v1 assembly for Oscillospiraceae bacterium"
"GCA_017454295.1"	"ASM1745429v1 assembly for Bacilli bacterium"
"GCA_017454325.1"	"ASM1745432v1 assembly for Desulfovibrio sp."
"GCA_017454335.1"	"ASM1745433v1 assembly for Bacteroidales bacterium"
"GCA_017454355.1"	"ASM1745435v1 assembly for Muribaculaceae bacterium"
"GCA_017454405.1"	"ASM1745440v1 assembly for Victivallales bacterium"
"GCA_017454425.1"	"ASM1745442v1 assembly for Clostridia bacterium"
"GCA_017454435.1"	"ASM1745443v1 assembly for Bacillota bacterium"
"GCA_017454485.1"	"ASM1745448v1 assembly for Clostridia bacterium"
"GCA_017454505.1"	"ASM1745450v1 assembly for Selenomonadaceae bacterium"
"GCA_017454525.1"	"ASM1745452v1 assembly for Clostridia bacterium"
"GCA_017454535.1"	"ASM1745453v1 assembly for Alphaproteobacteria bacterium"
"GCA_017463255.1"	"ASM1746325v1 assembly for Lachnospiraceae bacterium"
"GCA_017463285.1"	"ASM1746328v1 assembly for Clostridia bacterium"
"GCA_017463305.1"	"ASM1746330v1 assembly for Lachnospiraceae bacterium"
"GCA_017463325.1"	"ASM1746332v1 assembly for Clostridia bacterium"
"GCA_017463345.1"	"ASM1746334v1 assembly for Clostridia bacterium"
"GCA_017463365.1"	"ASM1746336v1 assembly for Bacilli bacterium"
"GCA_017463375.1"	"ASM1746337v1 assembly for Ruminococcus sp."
"GCA_017463425.1"	"ASM1746342v1 assembly for Clostridia bacterium"
"GCA_017463445.1"	"ASM1746344v1 assembly for Clostridia bacterium"
"GCA_017463465.1"	"ASM1746346v1 assembly for bacterium"
"GCA_017463485.1"	"ASM1746348v1 assembly for Clostridia bacterium"
"GCA_017463505.1"	"ASM1746350v1 assembly for Clostridia bacterium"
"GCA_017463525.1"	"ASM1746352v1 assembly for Oscillospiraceae bacterium"
"GCA_017463545.1"	"ASM1746354v1 assembly for Oscillospiraceae bacterium"
"GCA_017463995.1"	"ASM1746399v1 assembly for Ruminococcus sp."
"GCA_017464025.1"	"ASM1746402v1 assembly for Paludibacteraceae bacterium"
"GCA_017464045.1"	"ASM1746404v1 assembly for Lachnospiraceae bacterium"
"GCA_017464065.1"	"ASM1746406v1 assembly for Prevotella sp."
"GCA_017464085.1"	"ASM1746408v1 assembly for Pseudomonadota bacterium"
"GCA_017464105.1"	"ASM1746410v1 assembly for Duodenibacillus sp."
"GCA_017464125.1"	"ASM1746412v1 assembly for Bacteroidaceae bacterium"
"GCA_017464135.1"	"ASM1746413v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017473775.1"	"ASM1747377v1 assembly for Ruminococcus sp."
"GCA_017473795.1"	"ASM1747379v1 assembly for Clostridia bacterium"
"GCA_017473825.1"	"ASM1747382v1 assembly for Clostridia bacterium"
"GCA_017473885.1"	"ASM1747388v1 assembly for Bacteroidaceae bacterium"
"GCA_017473905.1"	"ASM1747390v1 assembly for Lachnospiraceae bacterium"
"GCA_017473925.1"	"ASM1747392v1 assembly for Clostridia bacterium"
"GCA_017473945.1"	"ASM1747394v1 assembly for Methanobrevibacter sp."
"GCA_017474045.1"	"ASM1747404v1 assembly for Clostridia bacterium"
"GCA_017474055.1"	"ASM1747405v1 assembly for Paludibacteraceae bacterium"
"GCA_017504285.1"	"ASM1750428v1 assembly for Spirochaetaceae bacterium"
"GCA_017504305.1"	"ASM1750430v1 assembly for Clostridia bacterium"
"GCA_017504325.1"	"ASM1750432v1 assembly for Lentisphaeria bacterium"
"GCA_017504335.1"	"ASM1750433v1 assembly for Clostridia bacterium"
"GCA_017504345.1"	"ASM1750434v1 assembly for Oscillospiraceae bacterium"
"GCA_017504385.1"	"ASM1750438v1 assembly for Bacteroidaceae bacterium"
"GCA_017504585.1"	"ASM1750458v1 assembly for Lentisphaeria bacterium"
"GCA_017517205.1"	"ASM1751720v1 assembly for Clostridia bacterium"
"GCA_017517225.1"	"ASM1751722v1 assembly for Oscillospiraceae bacterium"
"GCA_017517265.1"	"ASM1751726v1 assembly for Fibrobacter sp."
"GCA_017517345.1"	"ASM1751734v1 assembly for Mycoplasmataceae bacterium"
"GCA_017517365.1"	"ASM1751736v1 assembly for Oscillospiraceae bacterium"
"GCA_017517385.1"	"ASM1751738v1 assembly for Akkermansia sp."
"GCA_017517405.1"	"ASM1751740v1 assembly for Bacteroidales bacterium"
"GCA_017517425.1"	"ASM1751742v1 assembly for Anaerotignum sp."
"GCA_017517445.1"	"ASM1751744v1 assembly for Clostridia bacterium"
"GCA_017517505.1"	"ASM1751750v1 assembly for Muribaculaceae bacterium"
"GCA_017517525.1"	"ASM1751752v1 assembly for Clostridia bacterium"
"GCA_017517545.1"	"ASM1751754v1 assembly for Bacteroidaceae bacterium"
"GCA_017517565.1"	"ASM1751756v1 assembly for Tidjanibacter sp."
"GCA_017517575.1"	"ASM1751757v1 assembly for Alistipes sp."
"GCA_017517605.1"	"ASM1751760v1 assembly for Bacteroidaceae bacterium"
"GCA_017517615.1"	"ASM1751761v1 assembly for Oscillospiraceae bacterium"
"GCA_017517645.1"	"ASM1751764v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017517665.1"	"ASM1751766v1 assembly for Clostridia bacterium"
"GCA_017517685.1"	"ASM1751768v1 assembly for Clostridia bacterium"
"GCA_017517705.1"	"ASM1751770v1 assembly for Alistipes sp."
"GCA_017517715.1"	"ASM1751771v1 assembly for Bacteroidales bacterium"
"GCA_017517745.1"	"ASM1751774v1 assembly for Clostridia bacterium"
"GCA_017519045.1"	"ASM1751904v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017519055.1"	"ASM1751905v1 assembly for Lachnospiraceae bacterium"
"GCA_017519085.1"	"ASM1751908v1 assembly for Bacteroidales bacterium"
"GCA_017519105.1"	"ASM1751910v1 assembly for Bacteroidales bacterium"
"GCA_017519125.1"	"ASM1751912v1 assembly for Bacteroidaceae bacterium"
"GCA_017519145.1"	"ASM1751914v1 assembly for Ruminococcus sp."
"GCA_017519155.1"	"ASM1751915v1 assembly for Eubacterium sp."
"GCA_017519305.1"	"ASM1751930v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017519335.1"	"ASM1751933v1 assembly for Ottowia sp."
"GCA_017519365.1"	"ASM1751936v1 assembly for Clostridia bacterium"
"GCA_017519385.1"	"ASM1751938v1 assembly for Bacteroidaceae bacterium"
"GCA_017519405.1"	"ASM1751940v1 assembly for Clostridia bacterium"
"GCA_017519415.1"	"ASM1751941v1 assembly for Ruminococcus sp."
"GCA_017519445.1"	"ASM1751944v1 assembly for Clostridiales bacterium"
"GCA_017519465.1"	"ASM1751946v1 assembly for Lachnospiraceae bacterium"
"GCA_017519475.1"	"ASM1751947v1 assembly for Ruminococcus sp."
"GCA_017519525.1"	"ASM1751952v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017519545.1"	"ASM1751954v1 assembly for Oscillospiraceae bacterium"
"GCA_017519555.1"	"ASM1751955v1 assembly for Bacteroidaceae bacterium"
"GCA_017519685.1"	"ASM1751968v1 assembly for Clostridia bacterium"
"GCA_017519705.1"	"ASM1751970v1 assembly for Prevotella sp."
"GCA_017519965.1"	"ASM1751996v1 assembly for Bacilli bacterium"
"GCA_017519975.1"	"ASM1751997v1 assembly for Oscillospiraceae bacterium"
"GCA_017520065.1"	"ASM1752006v1 assembly for Muribaculaceae bacterium"
"GCA_017520105.1"	"ASM1752010v1 assembly for Fibrobacter sp."
"GCA_017520125.1"	"ASM1752012v1 assembly for Candidatus Gastranaerophilales bacterium"
"GCA_017520145.1"	"ASM1752014v1 assembly for Bacteroidales bacterium"
"GCA_017520155.1"	"ASM1752015v1 assembly for Lachnospiraceae bacterium"
"GCA_017520185.1"	"ASM1752018v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017520205.1"	"ASM1752020v1 assembly for Clostridia bacterium"
"GCA_017520215.1"	"ASM1752021v1 assembly for Alistipes sp."
"GCA_017520235.1"	"ASM1752023v1 assembly for Muribaculaceae bacterium"
"GCA_017521005.1"	"ASM1752100v1 assembly for Clostridia bacterium"
"GCA_017521025.1"	"ASM1752102v1 assembly for Clostridia bacterium"
"GCA_017521045.1"	"ASM1752104v1 assembly for Prevotella sp."
"GCA_017521065.1"	"ASM1752106v1 assembly for Kiritimatiellia bacterium"
"GCA_017521085.1"	"ASM1752108v1 assembly for Oscillospiraceae bacterium"
"GCA_017521125.1"	"ASM1752112v1 assembly for Clostridia bacterium"
"GCA_017521145.1"	"ASM1752114v1 assembly for Akkermansia sp."
"GCA_017521165.1"	"ASM1752116v1 assembly for Alphaproteobacteria bacterium"
"GCA_017521195.1"	"ASM1752119v1 assembly for Lachnospiraceae bacterium"
"GCA_017521225.1"	"ASM1752122v1 assembly for Clostridia bacterium"
"GCA_017521245.1"	"ASM1752124v1 assembly for Bacteroidales bacterium"
"GCA_017521295.1"	"ASM1752129v1 assembly for Clostridia bacterium"
"GCA_017521325.1"	"ASM1752132v1 assembly for Oscillospiraceae bacterium"
"GCA_017521345.1"	"ASM1752134v1 assembly for Ruminiclostridium sp."
"GCA_017521365.1"	"ASM1752136v1 assembly for Clostridia bacterium"
"GCA_017521385.1"	"ASM1752138v1 assembly for Bacillota bacterium"
"GCA_017521445.1"	"ASM1752144v1 assembly for Clostridium sp."
"GCA_017521505.1"	"ASM1752150v1 assembly for Oscillospiraceae bacterium"
"GCA_017521525.1"	"ASM1752152v1 assembly for Bacteroidales bacterium"
"GCA_017521565.1"	"ASM1752156v1 assembly for Clostridia bacterium"
"GCA_017521605.1"	"ASM1752160v1 assembly for Lachnospiraceae bacterium"
"GCA_017521635.1"	"ASM1752163v1 assembly for Alistipes sp."
"GCA_017521685.1"	"ASM1752168v1 assembly for Clostridia bacterium"
"GCA_017527205.1"	"ASM1752720v1 assembly for Lachnospiraceae bacterium"
"GCA_017527225.1"	"ASM1752722v1 assembly for Lentisphaeria bacterium"
"GCA_017527245.1"	"ASM1752724v1 assembly for Oscillospiraceae bacterium"
"GCA_017527415.1"	"ASM1752741v1 assembly for Bacteroidales bacterium"
"GCA_017529105.1"	"ASM1752910v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017529165.1"	"ASM1752916v1 assembly for Clostridia bacterium"
"GCA_017529245.1"	"ASM1752924v1 assembly for Bacteroidales bacterium"
"GCA_017529305.1"	"ASM1752930v1 assembly for Clostridia bacterium"
"GCA_017529465.1"	"ASM1752946v1 assembly for Synergistaceae bacterium"
"GCA_017529505.1"	"ASM1752950v1 assembly for Bacteroidales bacterium"
"GCA_017529545.1"	"ASM1752954v1 assembly for Selenomonadaceae bacterium"
"GCA_017529585.1"	"ASM1752958v1 assembly for Eubacterium sp."
"GCA_017529925.1"	"ASM1752992v1 assembly for Clostridiales bacterium"
"GCA_017529935.1"	"ASM1752993v1 assembly for Selenomonadaceae bacterium"
"GCA_017530025.1"	"ASM1753002v1 assembly for Selenomonadaceae bacterium"
"GCA_017530105.1"	"ASM1753010v1 assembly for Bacteroidales bacterium"
"GCA_017530125.1"	"ASM1753012v1 assembly for Muribaculaceae bacterium"
"GCA_017530265.1"	"ASM1753026v1 assembly for Bacteroidales bacterium"
"GCA_017530275.1"	"ASM1753027v1 assembly for Clostridia bacterium"
"GCA_017530365.1"	"ASM1753036v1 assembly for Bacteroidales bacterium"
"GCA_017530405.1"	"ASM1753040v1 assembly for Prevotella sp."
"GCA_017530415.1"	"ASM1753041v1 assembly for Prevotella sp."
"GCA_017530465.1"	"ASM1753046v1 assembly for Bacteroidales bacterium"
"GCA_017530515.1"	"ASM1753051v1 assembly for Alphaproteobacteria bacterium"
"GCA_017530585.1"	"ASM1753058v1 assembly for Clostridiales bacterium"
"GCA_017530685.1"	"ASM1753068v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017530705.1"	"ASM1753070v1 assembly for Bacteroidaceae bacterium"
"GCA_017530715.1"	"ASM1753071v1 assembly for Lachnospiraceae bacterium"
"GCA_017530725.1"	"ASM1753072v1 assembly for Bacteroidales bacterium"
"GCA_017530825.1"	"ASM1753082v1 assembly for Clostridia bacterium"
"GCA_017530885.1"	"ASM1753088v1 assembly for Acidaminococcaceae bacterium"
"GCA_017532565.1"	"ASM1753256v1 assembly for Clostridia bacterium"
"GCA_017532605.1"	"ASM1753260v1 assembly for Clostridia bacterium"
"GCA_017532685.1"	"ASM1753268v1 assembly for Oscillospiraceae bacterium"
"GCA_017532725.1"	"ASM1753272v1 assembly for Bacteroidaceae bacterium"
"GCA_017532755.1"	"ASM1753275v1 assembly for Clostridia bacterium"
"GCA_017532915.1"	"ASM1753291v1 assembly for Clostridia bacterium"
"GCA_017532985.1"	"ASM1753298v1 assembly for Clostridia bacterium"
"GCA_017533005.1"	"ASM1753300v1 assembly for Clostridia bacterium"
"GCA_017533025.1"	"ASM1753302v1 assembly for Oscillospiraceae bacterium"
"GCA_017533135.1"	"ASM1753313v1 assembly for Akkermansia sp."
"GCA_017533165.1"	"ASM1753316v1 assembly for Eggerthellaceae bacterium"
"GCA_017533175.1"	"ASM1753317v1 assembly for Clostridia bacterium"
"GCA_017533195.1"	"ASM1753319v1 assembly for Clostridia bacterium"
"GCA_017533325.1"	"ASM1753332v1 assembly for Alphaproteobacteria bacterium"
"GCA_017533425.1"	"ASM1753342v1 assembly for Clostridia bacterium"
"GCA_017540165.1"	"ASM1754016v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017540175.1"	"ASM1754017v1 assembly for Clostridia bacterium"
"GCA_017540225.1"	"ASM1754022v1 assembly for Oscillospiraceae bacterium"
"GCA_017540265.1"	"ASM1754026v1 assembly for Lachnospiraceae bacterium"
"GCA_017540285.1"	"ASM1754028v1 assembly for Clostridia bacterium"
"GCA_017540325.1"	"ASM1754032v1 assembly for Bacteroidaceae bacterium"
"GCA_017540355.1"	"ASM1754035v1 assembly for Lachnospiraceae bacterium"
"GCA_017540385.1"	"ASM1754038v1 assembly for Lentisphaeria bacterium"
"GCA_017540485.1"	"ASM1754048v1 assembly for Prevotella sp."
"GCA_017540545.1"	"ASM1754054v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017540565.1"	"ASM1754056v1 assembly for Oscillospiraceae bacterium"
"GCA_017540605.1"	"ASM1754060v1 assembly for Lachnospiraceae bacterium"
"GCA_017540665.1"	"ASM1754066v1 assembly for Prevotella sp."
"GCA_017541155.1"	"ASM1754115v1 assembly for Paludibacteraceae bacterium"
"GCA_017541185.1"	"ASM1754118v1 assembly for Treponema sp."
"GCA_017541205.1"	"ASM1754120v1 assembly for Clostridia bacterium"
"GCA_017541225.1"	"ASM1754122v1 assembly for Lachnospiraceae bacterium"
"GCA_017552535.1"	"ASM1755253v1 assembly for Clostridia bacterium"
"GCA_017552555.1"	"ASM1755255v1 assembly for Lachnospiraceae bacterium"
"GCA_017552575.1"	"ASM1755257v1 assembly for Alphaproteobacteria bacterium"
"GCA_017552595.1"	"ASM1755259v1 assembly for Muribaculaceae bacterium"
"GCA_017552615.1"	"ASM1755261v1 assembly for Clostridia bacterium"
"GCA_017552645.1"	"ASM1755264v1 assembly for Lachnospiraceae bacterium"
"GCA_017552665.1"	"ASM1755266v1 assembly for Bacteroidales bacterium"
"GCA_017552685.1"	"ASM1755268v1 assembly for Clostridia bacterium"
"GCA_017552705.1"	"ASM1755270v1 assembly for Bacteroidales bacterium"
"GCA_017559525.1"	"ASM1755952v1 assembly for Alphaproteobacteria bacterium"
"GCA_017559545.1"	"ASM1755954v1 assembly for Bacteroidales bacterium"
"GCA_017560125.1"	"ASM1756012v1 assembly for Bacteroidaceae bacterium"
"GCA_017560145.1"	"ASM1756014v1 assembly for Clostridia bacterium"
"GCA_017560205.1"	"ASM1756020v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017560245.1"	"ASM1756024v1 assembly for Clostridia bacterium"
"GCA_017560255.1"	"ASM1756025v1 assembly for Clostridia bacterium"
"GCA_017560285.1"	"ASM1756028v1 assembly for Clostridia bacterium"
"GCA_017560325.1"	"ASM1756032v1 assembly for Anaerotignum sp."
"GCA_017560385.1"	"ASM1756038v1 assembly for Bacteroidales bacterium"
"GCA_017560425.1"	"ASM1756042v1 assembly for Alistipes sp."
"GCA_017560435.1"	"ASM1756043v1 assembly for Paludibacteraceae bacterium"
"GCA_017560525.1"	"ASM1756052v1 assembly for Lachnospiraceae bacterium"
"GCA_017560605.1"	"ASM1756060v1 assembly for Paludibacteraceae bacterium"
"GCA_017560645.1"	"ASM1756064v1 assembly for Clostridia bacterium"
"GCA_017560665.1"	"ASM1756066v1 assembly for Bacteroidaceae bacterium"
